spanish,wayuunaiki
"vete","pu'unaa"
"fuego","siki"
"pare","püshawala'ma"
"esperen","ja'atapajaa taya"
"daos prisa","kakuwaata"
"dese prisa","püaülaa"
"me oculte","ounjulashi taya"
"me escondi","anujulaashi taya"
"me escondia","anujulaapünashi taya"
"corri","awataashi taya"
"corria","awatapünashi taya"
"lo intento","too'ulaküin"
"disparen","jasoneera'ma"
"al ataque","pushutapa"
"ataquen","jashuta"
"levanta","piyaleran"
"vayan ahora mismo","jo'una joolu'ukana'aya"
"vayan ya","jo'una joolu'u"
"lo pillas","pütaülüin"
"el corrio","awataashi"
"metete adentro","pikerolo paülü'ümüin"
"abrazame","pujuupajaa taya"
"me preocupo","shiwaatüsü taa'in"
"yo lo se","tatüjaa o'u"
"menti","taküjüin ta'alain"
"perdi","akanajuushi taya"
"cante","e'irajüshi taya"
"llore","a'yalajüshi taya"
"lloraba","a'yalajapu'ushi taya"
"tengo diecinueve","po'oloo mekiisalüichi taya"
"estoy levantado","atamaaichipa taya"
"escuchen","jaapaja"
"imposible","isasü achikirün"
"de eso nada","nnojotsü ti'a"
"ni cagando","e'itaichi te'iitüin"
"minga","mawalaatasalü"
"ni en pedo","e'itaichi toorolüin"
"la verdad","shiimüinkalü"
"por que yo","jamakaa tayainjachin"
"preguntale a tom","püsakira tom"
"sed buenas","ana jaya"
"sean buenos","ana jiairua"
"sean gentiles","kamanee jiairua"
"se agradable","anakuwa'ipalü jiairua"
"pirate","isa pia"
"llamanos","jeenaja waya"
"agarra a tom","pütaüla tom"
"bajate","püshakata"
"salgan","jojuitapa"
"salga de aqui","pujuitapa yaajee yaa"
"a la calle","kaayelu'umüin"
"vete a casa","pu'una miichipa'amüin"
"chau","wane ka'iya'asa"
"el vino","antüshi"
"golpea a tom","pi'iyaata tom"
"abraza a tom","pujuupajaa tom"
"estoy de acuerdo","oonooshi taya sümaa"
"me incline","ejepülaashi taya"
"me congele","asaamiajaashi taya"
"me hele","asaamiajaasha'anashi taya"
"me he mudado","akolojooshi taya"
"me mude","akolojooichipa taya"
"me traslade","alataashi taya"
"me he trasladado","alataaichipa taya"
"dormi","atunkuichipa taya"
"lo intente","to'ulaküin"
"soy tom","taya tom"
"estoy en forma","ayatayüi taya"
"estoy afectado","sheewain taya"
"soy timido","japüle'e taya"
"estoy mojada","chütsü taya"
"unete a nosotros","jo'u wamaai pia"
"se parte nuestra","ee pia wamaa"
"guardalo","pünaajaan"
"pasa desapercibido","pülata sünain matüjaanin po'u"
"yo tambien","taya ya'asa"
"perfecto","anasha'anasü"
"empujala","pu'uta süchiki"
"empujalo","pu'uta nüchiki"
"muestramelo","pi'iyatan"
"ense amelo","pi'iyata tamüin"
"cerra el pico","püsurala pi'ichi"
"saltatelo","puwatan"
"detenlo","püshawale'erapan"
"tom comio","eküshi tom"
"tom corrio","awataashi tom"
"tom gano","akanashi tom"
"esperame despierto","pa'atapaja taya sünain katoin po'u"
"nos preocupamos","mojusü waa'in"
"perdimos","amuloishii waya"
"quien comio","jarai ekakai yaa"
"quien corria","jarai awataapu'ukai yaa"
"quien corrio","jarai awataakai yaa"
"quien gano","jarai akanajakai"
"quien ha ganado","jarai akanajakai yaa"
"estoy gorda","kaüsüsü taya"
"preguntales","püsakirairua"
"aparta","pükatalaa"
"apartate","pükatalaapa"
"se un hombre","toolo pia"
"se fuerte","katchin pia"
"sea breve","püshapajaapa"
"sean breves","jashapajaapa"
"encuentre a tom","pünta nünain tom"
"encuentren a tom","jünta nünain tom"
"arregla esto","pünaata tüü"
"tumbate","pujuttapa"
"subes","aliiküshi pia"
"buen trabajo","anasü pi'yataain"
"sujeta a tom","pajapülü'ü tom"
"el hablo","ashajaashi niakai"
"el lo intenta","nu'ulaküin"
"el prueba","nu'ulaküin she'ejü"
"hola que hay","jamayaa kasa eekalü"
"ey chavales","jeirakaa jima'alii"
"buenas","jamayaa"
"hola por aqui","jamayaa yaapünaa yaa"
"que encanto","anale'ejain"
"que tan profundo","keinotsü ma'ain"
"como de profundo","jamüsü shiinoluin"
"hazme el favor","paa'ira tamüin wanee analu'ulu"
"convine","anasü amünii"
"accedi","taapa ekiirü"
"maldije","to'ulejüin"
"despotrique","o'ulejashi taya"
"fracase","mojusü takuwa'ipa"
"me las arreglo","naajeerü tatuma"
"llame por telefono","enajüshi taya süka teleepana"
"me niego","ayoutajaashi taya"
"renuncio","nnojolüichipa taya sünainpünaa"
"suspire","tasanalüin taa'in"
"sonrei","akulemalaashi taya"
"yo lo uso","taa'inrajia"
"estoy calmado","eimalaashi taya"
"soy bastante facilon","mapüleesha'anashi taya"
"soy justo","pansaasü takuwa'ipa"
"estoy lleno","emirashi taya"
"estoy llena","emirasü taya"
"ya me llene","emiraichipa taya"
"estoy herido","pasiruuashi taya"
"llego tarde","anteechi taya mapeena"
"soy vago","shokulashi taya"
"estoy perdida","amuloisü taya"
"soy malo","mojulaashi taya"
"soy pobre","müliashi taya"
"soy rico","washit taya"
"estoy a salvo","isashi taya"
"soy delgado","pasanuashi taya"
"estoy limpio","wuleshi taya"
"soy fea","kashüülasü taya"
"estoy calentito","jaichonshi taya"
"estoy debil","nnojotsü taa'in"
"soy listo","yalayatshi taya"
"eso ayuda","eiwaajüsü ti'a"
"duele","aisü"
"es viejo","laülaan"
"es rojo","ishosün"
"es triste","mojusü saa'in"
"prohibido pasar","pülasü alataa"
"besa a tomas","puusaja tomas"
"besen a tomas","juusaja tomas"
"dejame","pu'ulaa taya"
"cuidado","jalia"
"casate conmigo","kasaalü pia tamaa"
"salva a tom","püso'ira naa'in tomaa"
"ella vino","antüsü"
"ella murio","outusü"
"sientate aqui","püikalaapa ye'eyaa"
"habla mas alto","metotsha'ana pünüiki"
"un momento","jietta paala"
"parate","pütamaa"
"de pie","püshawalaa"
"deten a tom","pütala tom"
"llevate a tom","pümaa tom"
"diselo a tom","püküja nümüin tom"
"ellos ganaron","akanajüshii nayakana"
"tom lo sabia","nütijoulu tom"
"tom se fue","o'unushi tom"
"tomas miente","küshi na'alain tomas"
"tom pago","awalaajüshi tom"
"tom renuncio","oulaashi tom"
"demasiado tarde","kama'aleesü ma'ain"
"intentalo de veras","pu'ulakapa shiimüinsha'ana"
"prueben un poco","joulaka palitchon"
"usa esto","pa'ata tüü"
"avisenle a tom","jaapirapa tom"
"vigilame","pi'raja to'u"
"observame","pünanaja taya"
"observalos","pünanajairua"
"estamos de acuerdo","oonooshii waya pümaa"
"iremos","ouneena waya"
"para que","jamüinjatün"
"que divertido","talata atumalün ma'ain"
"quien vino","jarai antakai yaa"
"quien murio","jarai anaajaakai yaa"
"quien se callo","jarai koutakai yaa"
"quien se cayo","jarai ajutuukai yaa"
"quien perdio","jarai moloikai yaa"
"quien pago","jarai awalaajakai yaa"
"quien es el","jarai nia yaa"
"escribeme","püshaja tamüin"
"despues de ti","püchikijee"
"despues de usted","püchikijee piakai"
"despues de vosotras","jachikijee jayakana"
"apunta fuego","pu'ulaka pujuta"
"los pajaros vuelan","katünashii wuchiikana"
"jesus","jesuu"
"llama a casa","peenaja miichipa'amüin"
"baja un cambio","püshakata wanee sü'wanajaaya"
"atrapelo a tomas","jataüla nümüin tomas"
"capturalo","pütaülapa"
"ven a casa","jalaichi miichipa'amüin"
"los perros ladran","ootüshii etkana"
"no preguntes","nnojolü pusakirün"
"no lloren","nnojolü ja'yalajüin"
"no te mueras","nnojolü outüin pia"
"no mintais","nnojolü püküjain pa'alain"
"no corras","nnojolü püwataain"
"tienten esto","joulakapa tüü"
"olvidense de mi","mo'oto jaa'in taya"
"preparaos","yapa jaya"
"ve a cogerlo","pu'una paapaaiwan"
"el es viejo","laülaa niakai"
"el se afeito","ajuijashi niakai"
"el es rico","washirü niakai"
"es rico","washirün"
"sosten esto","pajapülüü tüü"
"que horror","kashüürale'eja"
"divierte a tom","pütalete'era naa'in tom"
"te lo ruego","tachuntüin pümüin"
"te lo suplico","tachuntasha'anain pümüin"
"puedo volar","eeshi süpüla tawatüin"
"se correr","atijashi taya awatawaa"
"senti vergüenza","japüiwaa"
"exhale","ajutaa süjoutaise"
"me rendi","ayamütchi taya"
"tire la toalla","tojutüi taanala"
"cedi","tayumulüin"
"ya te pillo","tano'utüipa pümüin"
"me dieron","aapünüsü tamüin"
"me alcanzaron","asawajünüshi taya"
"me la baja","püshakatira tamüin"
"golpee a tom","ta'yaatüichipa tom"
"me arrodille","tasapainkashi taya"
"me arrodillaba","tasapainkapu'ushi taya"
"lo adoro","aishi tapüla"
"me encanta","kamalainsha'anasü tamüin"
"veia a uno","te'erapu'ui wanee"
"te vi","te'erüin pia"
"te he visto","te'erüshi pia"
"me tropece","ko'ikiishi taya"
"estuve triste","mojusüinka taa'in"
"yo cocinare","a'lakajaajeechi taya"
"yo guisare","akisaawajeechi taya"
"vivire","kateechi o'u taya"
"cantare","ee'irajeechi taya"
"parare","asha'laajeechi taya"
"lo dejare","toulaajeerün"
"soy un hombre","toolo taya"
"soy un pro","atijashi taya"
"estoy despierto","katüsü to'u"
"soy ciega","mo'upa'asalü taya"
"estoy sin blanca","makasuutainsai taya"
"no tengo blanca","nnojotsü kasuutolu tama'ana"
"estoy loco","mamainashi taya"
"estoy tomada","a'yajüsü taya"
"estoy prendida","epetsü taya"
"me estoy muriendo","ajalajüsü taa'in"
"soy el primero","palajachi taya tayakai"
"me toca primero","palajanaainchi taya"
"soy amado","aishi apülaa taya"
"soy amada","aisü apülaa taya"
"soy obeso","kaüsesha'anashi taya"
"lo siento","taa'inmaasün"
"yo estoy cansada","mapüsasü taya"
"no hagas caso","nnojolü poonoin"
"es grave","mayensün"
"es malo","mojusün"
"esta lejos","wattasün"
"no lo consiguio","nnojotsü tantüin anain"
"fallo","otchejaasü"
"fracaso","mojusu sükuwa'ipa"
"diluviaba","juya meimalaainsalü"
"llovio","e'itüsü juya"
"apesta","jawaisü"
"son las","müi oorakalü"
"es un televisor","wanee telewisoorü"
"hace frio","aisü jemiaikalü"
"esta frio","saamatüsü"
"esta fresco","jemiasü"
"esta oscuro","piyuushesü"
"es tarde","wattai ka'ikaa"
"es nuestro","waajüin"
"es la nuestra","shia waajüinkalü"
"se termino","ajalajaasü"
"es la hora","shia oorakalü"
"es el momento","shia süka'lia"
"quedatelos","paapaapa pümüin"
"guardenselos","jaapaapa jamüin"
"guarden esto","janaajaa tüü"
"mantente caliente","tutta pia"
"mantenganse calientes","tutta jaya waneepia"
"mantenganse abrigados","ko'oyoo jaya waneepia"
"ahora largate","pu'una mmataka"
"dejanos entrar","pu'ulaa wottaai"
"tumbate en silencio","pujutta manüliole"
"miren aqui","jeirakaa ye'eyaa"
"sueltala","püjüta süchiki"
"deja sitio","püpüta süchikanain"
"mueve el culo","püliata piiyou"
"deja pasar","pu'ulaa sülatüi"
"fuego a discrecion","ajutaa eimalawaa"
"perdona","mo'oto paa'in"
"ponganselo","ja'atapa janain"
"lean esto","jaashaje'era tüü"
"deci hola","püma jamayaa"
"vease arriba","sünalaana iipünaa"
"vease mas arriba","sünalaana iipünaasha'ana"
"a por el","aa nümüin niaka"
"cogedlo","paapaa"
"capturadlo","pütaülapan"
"ella anda","eesü shiakalü"
"ella camina","waraitüsü shiakaa"
"ella es candente","jorottüsü ma'ain shiakalü"
"esta que cruje","müsü saa'in keireeka shia"
"firme aqui","pejeetta ye'eyaa"
"sentate ahi","puikalaa ye'eyaa"
"tu mantente","waneepia pia"
"mas despacio","jayatta'a ma'in"
"mantente delgado","aürala pia"
"para eso","püshawale'era türa"
"detenlos","jashawale'eran"
"parales","püshawale'era napüla"
"cuidate","paa'inmajaa"
"te cuidas","paa'inmajaapa"
"cuidaos","jaa'inmajaa"
"asume el mando","shikiipu'u pia"
"encargate tu","pia shikiipu'ukai"
"tomen esto","jaapaa tüü"
"gracias a ti","anayaawatsüja'a pümüin"
"ese soy yo","taya'aya tayakai"
"cayeron","ajutuushii"
"se marcharon","o'unushii"
"se iban","o'unajaniaa"
"perdieron","amuloishiin"
"tom se inclino","apooliraashi tom"
"tom dormito","alepütchi tom"
"tomas condujo","achupeerajüshi tomas"
"tom esta dentro","paülü'üshi tom"
"tom esta levantado","atamaaichipa tom"
"tom teje","e'inashi tom"
"tom sabe","atijashi tom"
"tom se mudo","akolojooshi tom"
"tom se movio","akutulaashi tom"
"tom se mece","ayuunajaashi tom"
"tom se quedo","makatüshi tom"
